V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,cond,objective,Q3,Q73,Q11,Q13,Q14,p1_1,p1_2,p1_3,p1_4,p1_5,p1_6,p1_time_1,p1_time_2,p1_time_3,p1_time_4,polparty,posoc,dk1_1,dk1_2,poecon,dk2_1,dk2_2,attitude1,attitude2,gender,age_1,puboffice,Q64,pubemploy,authority,comments,LocationLatitude,LocationLongitude,LocationAccuracy,
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,cond,objective,Individual Decision Making Study /  / This consent form asks you to take part in a research study / conducted by researchers at Harvard and UCLA. You must be at least / 18 years old to participate. / This re...,"For this study you will read and respond to questions about / approaches to public policy. /   /  This is a short survey, so we ask that you please pay attention /  and read all materials before responding.",Policy Proposal: Automatic Enrollment / Researchers have suggested that one useful approach to public / policy is to automatically enroll people into a program. The basic / idea is that most people tend...,"For example, some low-income individuals may wish to participate in / food stamp and supplemental assistance programs they are legally / eligible for, but normally fail to claim such benefits. Knowing...","For example, some high-income individuals may wish to take / advantage of capital gains tax breaks they are legally eligible / for, but normally fail to claim such benefits. Knowing this, / policymakers...","This approach of strategically selecting default options can be / used across a wide range of policies. Putting this particular / example aside, please tell us how you feel about the strategic use / of a...-How much do you <u>support</u> this approach to policy?","This approach of strategically selecting default options can be / used across a wide range of policies. Putting this particular / example aside, please tell us how you feel about the strategic use / of a...-How much do you <u>oppose</u> this approach to policy?","This approach of strategically selecting default options can be / used across a wide range of policies. Putting this particular / example aside, please tell us how you feel about the strategic use / of a...-How <u>ethical</u> is this approach to policy?","This approach of strategically selecting default options can be / used across a wide range of policies. Putting this particular / example aside, please tell us how you feel about the strategic use / of a...-How <u>manipulative</u> is this approach to policy?","This approach of strategically selecting default options can be / used across a wide range of policies. Putting this particular / example aside, please tell us how you feel about the strategic use / of a...-How <u>unethical</u> is this approach to policy?","This approach of strategically selecting default options can be / used across a wide range of policies. Putting this particular / example aside, please tell us how you feel about the strategic use / of a...-How <u>coercive</u> is this approach to policy?",Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,"Do you identify primarily as Republican, Democrat, or neither?","When it comes to social issues, I am ... /   ", -<em>Click here instead if you are completely unsure</em>, -<em>Click here instead if you haven't given it much thought</em>,"When it comes to economic issues, I am ... /   ", -<em>Click here instead if you are completely unsure</em>, -<em>Click here instead if you haven't given it much thought</em>,How do you feel about promoting food stamp programs for low-income / individuals?,How do you feel about promoting tax breaks for high-income / individuals?,Gender: /   ,Age: -years old,"Are you, or have you ever been, elected to a public / office?","Are you, or have you ever been, appointed to a public / office?",Are you a public employee?,Do you have authority over how or whether any government / policies affect the public?,"Finally, any questions, comments, or suggestions for this / study?",LocationLatitude,LocationLongitude,LocationAccuracy,
R_a9JBAgvEFDuxza5,Default Response Set,Anonymous,,,74.82.64.144,0,2014-05-30 13:53:40,2014-05-30 13:56:37,1,1,tax breaks,1,1,1,,1,1,5,1,5,5,5,,,,,2,,,1,,,1,,1,2,53,9,9,8,,,38,-97,-1,
R_5uWoKkZaHvIDjDf,Default Response Set,Anonymous,,,165.189.37.11,0,2014-05-30 13:57:06,2014-05-30 14:01:02,1,0,food stamps,1,1,1,1,,4,2,4,3,2,5,109.478,150.80499999999998,151.788,7,2,2,,,2,,,7,,2,44,9,9,8,8,,43.03889465332,-87.90650177002,-1,
R_41tenXjGvXsBunP,Default Response Set,Anonymous,,,66.249.101.130,0,2014-05-30 14:00:25,2014-05-30 14:05:27,1,1,tax breaks,1,1,1,,1,4,2,5,4,1,1,97.371,157,158.401,7,1,7,,,7,,,,6,1,48,9,9,8,8,Not at this time.,29.185104370117,-95.45539855957,-1,
R_41Ty3YNOBU1Mlxj,Default Response Set,Anonymous,,,207.195.128.91,0,2014-05-30 14:39:56,2014-05-30 14:42:35,1,1,tax breaks,1,1,1,,1,3,3,2,4,4,4,63.716,90.85199999999999,91.839,6,1,6,,,7,,,,4,1,30,9,8,8,8,,39.394195556641,-101.018699646,-1,
R_0v37btpOGhyRBs1,Default Response Set,Anonymous,,,66.87.128.150,0,2014-05-30 14:39:37,2014-05-30 14:43:44,1,0,food stamps,1,1,1,1,,1,5,2,4,5,2,57.055,95.329,97.131,7,2,4,,,5,,,2,,2,44,8,8,9,8,,37.553802490234,-77.460296630859,-1,
R_1WSiINi1l3kXEZ7,Default Response Set,Anonymous,,,172.10.76.179,0,2014-05-30 14:52:39,2014-05-30 14:58:12,1,1,tax breaks,1,1,1,,1,2,4,2,5,4,5,102.074,217.34500000000003,219.124,7,3,1,,,7,,,,6,1,48,8,8,8,8,,32.798797607422,-92.991897583008,-1,
R_bpZ2AdesFDefu3X,Default Response Set,Anonymous,,,75.69.34.28,0,2014-05-30 16:14:21,2014-05-30 16:17:49,1,0,food stamps,1,1,1,1,,3,2,3,3,3,3,68.637,88.51599999999999,92.316,6,2,4,,,4,,,6,,1,37,9,8,8,8,,44.532699584961,-73.057998657227,-1,
R_bkd3yxkrZM43jgx,Default Response Set,Anonymous,,,107.4.241.90,0,2014-05-30 16:38:25,2014-05-30 16:40:34,1,1,tax breaks,1,1,1,,1,4,2,3,3,3,3,11.91,43.299,46.596,7,3,4,,,5,,,,3,1,48,9,8,8,8,,37.343994140625,-79.206398010254,-1,
R_0xpot79J20bL77L,Default Response Set,Anonymous,,,100.40.46.249,0,2014-05-30 17:13:30,2014-05-30 17:22:35,1,0,food stamps,1,1,1,1,,3,3,3,4,3,4,59.338,99.76700000000001,105.791,6,2,3,,,3,,,7,,1,56,9,8,8,9,,41.42790222168,-71.536399841309,-1,
R_dpsWmDGabirpUgd,Default Response Set,Anonymous,,,99.106.241.254,0,2014-05-30 18:09:27,2014-05-30 18:12:34,1,0,food stamps,1,1,1,1,,3,3,3,3,3,4,4.369,16.607999999999997,83.887,6,1,4,,,5,,,4,,1,50,8,9,8,9,,33.835296630859,-117.91450500488,-1,
R_dmw6dplrXbvHodT,Default Response Set,Anonymous,,,76.179.149.151,0,2014-05-31 04:16:46,2014-05-31 04:21:55,1,1,tax breaks,1,1,1,,1,4,1,4,3,1,2,45.741,107.672,111.86,6,2,3,,,3,,,,1,1,51,8,9,9,9,,44.651306152344,-68.450698852539,-1,
R_eFBRtrOHHNDjpbL,Default Response Set,Anonymous,,,71.61.244.191,0,2014-05-31 04:58:23,2014-05-31 05:02:18,1,1,tax breaks,1,1,1,,1,3,3,3,5,4,5,72.891,89.151,91.12,6,2,3,,,2,,,,1,1,53,8,8,9,9,,40.406692504883,-80.110801696777,-1,
R_6PWksuokKZD8WlD,Default Response Set,Anonymous,,,76.90.226.135,0,2014-05-31 06:31:42,2014-05-31 06:34:33,1,0,food stamps,1,1,1,1,,5,2,5,2,1,2,73.908,107.399,108.818,6,3,2,,,2,,,5,,1,54,8,9,8,8,,34.122299194336,-117.71429443359,-1,
R_9YwHHwDaboIMCrj,Default Response Set,Anonymous,,,96.38.101.250,0,2014-05-31 06:37:11,2014-05-31 06:42:30,1,1,tax breaks,1,1,1,,1,3,3,3,3,3,3,64.441,82.908,87.331,6,3,2,,,4,,,,1,1,43,9,8,8,8,,35.857192993164,-84.017700195312,-1,
R_bpx8IbPrQCVa8tf,Default Response Set,Anonymous,,,72.227.126.143,0,2014-05-31 06:57:14,2014-05-31 06:59:36,1,0,food stamps,1,1,1,1,,1,5,3,5,3,4,46.439,77.36999999999999,78.01,9,3,7,,,7,,,3,,1,44,9,8,8,8,,44.084503173828,-70.16960144043,-1,
R_4YBVKmfJEdTg5Ct,Default Response Set,Anonymous,,,173.9.49.65,0,2014-05-31 08:54:00,2014-05-31 08:57:53,1,1,tax breaks,1,1,1,,1,4,2,4,4,2,4,71.885,96.739,102.713,6,1,3,,,2,,,,6,1,47,9,9,8,8,,42.395492553711,-71.181602478027,-1,
R_eb7ouX73xAAu2eV,Default Response Set,Anonymous,,,98.229.29.30,0,2014-05-31 11:35:51,2014-05-31 11:41:55,1,0,food stamps,1,1,1,1,,2,4,3,3,3,3,66.898,191.781,193.849,8,1,4,,,5,,,2,,1,50,8,8,9,8,,42.373092651367,-71.01619720459,-1,
R_0MwxxdmDH0jwsOV,Default Response Set,Anonymous,,,68.9.62.176,0,2014-05-31 12:14:01,2014-05-31 12:18:24,1,1,tax breaks,1,1,1,,1,5,2,3,3,3,2,58.809,104.96799999999999,107.151,9,2,4,,,4,,,,3,1,57,9,9,8,8,,41.643402099609,-71.478302001953,-1,
R_8J1aTMMLKat1xlj,Default Response Set,Anonymous,,,64.134.240.249,0,2014-05-31 16:38:19,2014-05-31 16:44:06,1,0,food stamps,1,1,1,1,,3,3,2,5,4,4,59.176,92.64900000000002,101.966,6,2,2,,,6,,,5,,2,37,9,9,8,8,"Fr broader application of the food stamp example, it really depends on what the topic is and how the policy maker chooses to use the automatic opt in approach.  The food stamp example is far more clear cut than other potential topics, and there is always the possibility of poor public policy and manipulation, as well as unintended consequences.",38,-97,-1,
R_ac3dvVvrbIsFzXD,Default Response Set,Anonymous,,,76.164.76.59,0,2014-05-31 16:59:12,2014-05-31 17:02:49,1,1,tax breaks,1,1,1,,1,4,2,4,5,1,1,53.236,87.972,88.989,6,1,6,,,6,,,,4,1,48,9,8,8,8,No,29.739700317383,-95.830200195312,-1,
R_bI6MsU0L0oS7Gg5,Default Response Set,Anonymous,,,69.244.95.69,0,2014-06-01 04:47:35,2014-06-01 05:01:02,1,0,food stamps,1,1,1,1,,4,2,3,4,3,3,97.376,172.767,174.988,9,2,3,,,4,,,7,,2,44,9,8,8,8,"It is very difficult to answer the questions without more details - the answer to many of the question is ""it depends.""  There are questions about what type of data is utilized (public sources only?), how it is extrapolated, who is extrapolating it and for what purposes.  This can be viewed as a seed change in how the U.S. views individual rights and privacy.  While I am greatly supportive of assisting low-income individuals with basics, I am also very supportive of individuals' rights to privacy...this proposal is a step towards making decisions for and about people.  For some populations this may be helpful because they may not be capable to assist themselves to the extent possible.  However for others, it is imposing or inadvertently ""labeling"" someone when they have not self-identified themselves as such.  Even by opting-out, they still have been ""identified""...or targeted if looked at for darker purposes.  History is full of examples of good intentions being executed in awful ways.  Also, by giving only one example, it skews the survey, even though it says to ignore the example.  Two or more examples should be used.  ",38.992401123047,-76.790100097656,-1,
R_cYqfPTs74kydu05,Default Response Set,Anonymous,,,155.212.194.50,0,2014-06-01 16:52:47,2014-06-01 16:57:08,1,1,tax breaks,1,1,1,,1,3,3,3,3,3,3,59.027,72.914,85.64,6,2,2,,,4,,,,4,2,51,9,8,9,8,You only gave one example of automatically enrolling people in a program.  It was difficult to say how I feel about the practice in general based on one program.,42.348403930664,-71.155097961426,-1,
R_7X6WIUZvkXUy1DL,Default Response Set,Anonymous,,,70.210.74.25,0,2014-06-02 02:02:37,2014-06-02 02:07:06,1,1,tax breaks,1,1,1,,1,4,1,5,1,1,1,80.083,109.459,136.033,9,2,1,,,2,,,,1,1,25,8,9,8,8,,42.607299804688,-83.929397583008,-1,
R_5nY4oiUskMRZPkF,Default Response Set,Anonymous,,,128.103.220.38,0,2014-06-02 17:00:28,2014-06-02 17:09:43,1,0,food stamps,1,1,1,1,,3,3,4,2,2,4,49.671,69.74799999999999,71.511,6,3,3,,,4,,,4,,1,35,9,8,8,8,,42.380004882812,-71.13289642334,-1,
R_020qZ71F6nnpyAJ,Default Response Set,Anonymous,,,198.30.81.7,0,2014-06-02 17:53:50,2014-06-02 17:59:28,1,1,tax breaks,1,1,1,,1,3,3,2,4,4,4,175.326,199.98,202.379,8,3,6,,,6,,,,3,1,55,8,8,8,8,no,39.961196899414,-82.998802185059,-1,
R_1SKRzorc54dAPRz,Default Response Set,Anonymous,,,216.57.200.246,0,2014-06-02 18:09:23,2014-06-02 18:14:22,1,0,food stamps,1,1,1,1,,2,3,2,5,3,4,92.104,139.299,141.683,6,1,6,,,7,,,4,,1,49,9,8,8,8,,48.686096191406,-122.41040039062,-1,
R_5mCwqe7acaOxuAJ,Default Response Set,Anonymous,,,128.103.221.130,0,2014-06-02 18:28:19,2014-06-02 18:32:39,1,1,tax breaks,1,1,1,,1,3,3,4,4,3,4,68.476,89.961,92.608,6,3,5,,,4,,,,3,1,,9,8,8,8,,42.380004882812,-71.13289642334,-1,
R_0kSiG9Is4S4YdP7,Default Response Set,Anonymous,,,128.103.221.187,0,2014-06-02 19:28:37,2014-06-02 19:32:32,1,1,tax breaks,1,1,1,,1,2,4,2,4,4,4,71.531,96.33000000000003,97.845,9,2,2,,,4,,,,3,2,,9,9,8,8,,42.380004882812,-71.13289642334,-1,
R_2n2J2i7WbPxo2Hj,Default Response Set,Anonymous,,,70.192.9.22,0,2014-06-02 19:32:45,2014-06-02 19:38:46,1,0,food stamps,1,1,1,1,,3,3,3,4,3,3,47.752,74.103,96.716,6,2,4,,,4,,,5,,1,43,9,9,8,9,One question in the electronic survey is different than the paper copy received.,42.318893432617,-71.150398254395,-1,
R_7NIEHKhzrDyUPjf,Default Response Set,Anonymous,,,128.103.220.42,0,2014-06-03 03:56:12,2014-06-03 03:58:47,1,0,food stamps,1,1,1,1,,1,5,3,5,4,5,43.466,68.95400000000001,70.079,6,1,6,,,6,,,5,,1,37,9,8,8,8,Very interesting qquestion,42.380004882812,-71.13289642334,-1,
R_8euZuCLJD54D75X,Default Response Set,Anonymous,,,146.79.254.10,0,2014-06-03 17:51:59,2014-06-03 17:54:56,1,1,tax breaks,1,1,1,,1,1,5,1,5,5,5,48.313,74.37599999999999,79.752,7,2,4,,,5,,,,1,2,,9,9,9,9,,47.606201171875,-122.33209991455,-1,
R_8AjrfNlYGEwIGXz,Default Response Set,Anonymous,,,128.103.220.37,0,2014-06-04 14:37:22,2014-06-04 14:41:19,1,0,food stamps,1,1,1,1,,5,1,4,4,2,5,58.909,105.36300000000001,107.361,7,2,1,,,2,,,7,,2,42,9,9,8,8,,42.380004882812,-71.13289642334,-1,
R_1RCaxP1MS3H2NvL,Default Response Set,Anonymous,,,128.103.220.183,0,2014-06-04 14:40:06,2014-06-04 14:42:57,1,1,tax breaks,1,1,1,,1,3,4,2,4,4,3,56.313,80.273,81.838,6,2,1,,,1,,,,1,1,45,8,9,8,9,,42.380004882812,-71.13289642334,-1,
R_cw47O0qV9ARdgIB,Default Response Set,Anonymous,,,128.103.222.100,0,2014-06-04 14:40:49,2014-06-04 14:44:31,1,1,tax breaks,1,1,1,,1,2,4,2,4,4,4,73.585,108.15899999999999,109.513,6,3,2,,,2,,,,2,1,49,9,9,8,9,,42.380004882812,-71.13289642334,-1,
R_6yRPHgjI2gsc9Ol,Default Response Set,Anonymous,,,128.103.221.227,0,2014-06-04 14:53:53,2014-06-04 14:57:24,1,0,food stamps,1,1,1,1,,2,4,3,4,3,4,61.1,92.14500000000001,93.027,6,2,1,,,2,,,7,,2,32,9,9,9,9,,42.380004882812,-71.13289642334,-1,
R_6KximvT9qGPZ9Jz,Default Response Set,Anonymous,,,128.103.220.143,0,2014-06-04 15:29:21,2014-06-04 15:35:58,1,1,tax breaks,1,1,1,,1,1,5,1,4,4,4,145.408,223.999,232.27,9,1,5,,1,,,,,2,1,50,9,9,8,8,,42.380004882812,-71.13289642334,-1,
R_bCyVuh9Mw8OoKl7,Default Response Set,Anonymous,,,128.103.221.187,0,2014-06-04 17:07:00,2014-06-04 17:12:00,1,0,food stamps,1,1,1,1,,4,2,4,2,1,4,78.891,129.33800000000002,134.063,6,2,2,,,4,,,6,,2,41,9,9,8,8,,42.380004882812,-71.13289642334,-1,
R_dc1toW3PLilFegl,Default Response Set,Anonymous,,,128.103.220.41,0,2014-06-04 17:40:03,2014-06-04 17:45:44,1,0,food stamps,1,1,1,1,,5,1,5,1,1,5,2.434,126.24499999999999,128.726,7,2,1,,,2,,,7,,1,34,9,9,8,8,Please share the results. Thank you!,42.380004882812,-71.13289642334,-1,
R_9AWhCui1mejKqZ7,Default Response Set,Anonymous,,,67.131.172.2,0,2014-06-04 17:51:57,2014-06-04 17:57:02,1,0,food stamps,1,1,1,1,,1,5,2,4,5,4,67.074,182.41400000000001,183.877,7,1,4,,,6,,,6,,2,47,9,9,8,9,,41.532501220703,-90.663101196289,-1,
R_3xFXDTB79fhiI4J,Default Response Set,Anonymous,,,128.103.220.190,0,2014-06-04 17:52:22,2014-06-04 18:06:02,1,1,tax breaks,1,1,1,,1,4,1,4,1,1,2,447.41,549.7570000000001,551.491,7,3,4,,,5,,,,2,1,47,9,9,8,8,,42.380004882812,-71.13289642334,-1,
R_ahCyXtBRwr6FAmp,Default Response Set,Anonymous,,,128.103.18.94,0,2014-06-05 13:10:22,2014-06-05 14:15:55,1,1,tax breaks,1,1,1,,1,3,3,1,5,5,5,36.95,60.42999999999999,61.627,6,3,2,,,5,,,,3,2,56,9,9,8,9,,42.380004882812,-71.13289642334,-1,
R_2fBvhmgFacdAG9L,Default Response Set,Anonymous,,,128.103.221.4,0,2014-06-05 15:45:14,2014-06-05 15:48:01,1,0,food stamps,1,1,1,1,,4,2,4,2,2,2,54.208,73.41499999999999,74.26,6,2,3,,,4,,,6,,1,52,9,9,8,8,,42.380004882812,-71.13289642334,-1,
R_00Lx6MHX6yQLKkt,Default Response Set,Anonymous,,,128.103.223.86,0,2014-06-05 16:09:32,2014-06-05 16:14:33,1,0,food stamps,1,1,1,1,,2,4,3,4,2,4,94.77,128.326,129.87,6,1,6,,,6,,,2,,1,45,9,9,8,9,None,42.380004882812,-71.13289642334,-1,
R_daolViMnTV58Amx,Default Response Set,Anonymous,,,128.103.220.37,0,2014-06-05 16:24:38,2014-06-05 16:28:46,1,1,tax breaks,1,1,1,,1,2,4,2,4,1,4,127.857,158.437,159.976,8,3,2,,,5,,,,6,2,43,9,9,8,8,,42.380004882812,-71.13289642334,-1,
R_1ZaPtyVH02hesZv,Default Response Set,Anonymous,,,67.134.204.7,0,2014-06-05 08:39:48,2014-06-05 18:05:02,1,1,tax breaks,1,1,1,,1,2,5,3,3,4,3,17.038,33810.76699999999,33812.173,8,2,1,,,6,,,,2,1,41,9,9,8,9,,42.380004882812,-71.13289642334,-1,
R_cJdwvfJ7JT4URZX,Default Response Set,Anonymous,,,174.127.36.18,0,2014-06-05 18:41:00,2014-06-05 18:43:49,1,0,food stamps,1,1,1,1,,5,1,5,1,1,4,61.118,81.384,83.154,7,2,1,,,2,,,7,,2,40,8,9,9,8,,34.052200317383,-118.24369812012,-1,
R_3OQdEWO2Jlw5Zbv,Default Response Set,Anonymous,,,128.103.220.38,0,2014-06-05 19:03:42,2014-06-05 19:07:53,1,1,tax breaks,1,1,1,,1,4,2,3,2,3,4,91.913,122.13199999999999,123.617,6,2,1,,,4,,,,3,1,37,9,9,8,8,,42.380004882812,-71.13289642334,-1,
R_cTo7CjrezyR0DEp,Default Response Set,Anonymous,,,128.103.220.208,0,2014-06-05 19:35:08,2014-06-05 19:41:08,1,0,food stamps,1,1,1,1,,2,3,3,4,2,5,88.883,118.059,126.043,7,2,2,,,3,,,7,,2,40,9,9,8,8,It was tough to generalize about the auto enroll strategy because it depends on the program if auto enroll makes sense. Are there fines associated with non compliance? How is the funding for the program? Does the program have a targeted purpose or an expansive one?,42.380004882812,-71.13289642334,-1,
R_1HPgWazGQWTqZRb,Default Response Set,Anonymous,,,97.58.158.12,0,2014-06-06 04:25:12,2014-06-06 04:31:54,1,1,tax breaks,1,1,1,,1,3,4,3,5,3,3,13.031,120.64100000000002,122.669,7,1,,,1,6,,,,4,1,48,9,9,8,8,,38,-97,-1,
R_b4agF0CPkpCEbeB,Default Response Set,Anonymous,,,71.187.192.184,0,2014-05-30 13:58:31,2014-05-30 13:59:27,0,0,food stamps,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_ahFYf1G3Kvgj1DT,Default Response Set,Anonymous,,,206.212.164.12,0,2014-05-30 14:18:06,2014-05-30 14:18:29,0,1,tax breaks,1,1,1,,1,,,,,,,0,0,7.846,0,,,,,,,,,,,,,,,,,,,-1,
R_86M9vECRbER6XwF,Default Response Set,Anonymous,,,99.106.241.254,0,2014-05-30 17:50:57,2014-05-30 18:09:02,0,1,tax breaks,1,1,1,,1,3,3,3,3,3,3,333.184,805.8690000000001,807.521,9,1,4,,,5,,,,4,,,,,,,,,,-1,
R_5pYP7UpAqnvwPsh,Default Response Set,Anonymous,,,68.9.62.176,0,2014-05-30 18:33:57,2014-05-30 18:34:32,0,1,tax breaks,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_e4Jz8ckMVmkKbIh,Default Response Set,Anonymous,,,128.103.223.146,0,2014-06-06 18:57:54,2014-06-06 19:01:08,1,1,tax breaks,1,1,1,,1,5,1,5,1,1,1,73.208,92.199,96.753,6,2,2,,,2,,,,4,1,40,8,9,8,8,,42.380004882812,-71.13289642334,-1,
R_ekQbA1wPoO1qRbT,Default Response Set,Anonymous,,,50.152.195.199,0,2014-05-30 19:45:53,2014-05-30 19:46:53,0,0,food stamps,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_e9hqidvrU0u4hYF,Default Response Set,Anonymous,,,70.192.17.20,0,2014-06-06 20:52:02,2014-06-06 21:05:11,1,1,tax breaks,1,1,1,,1,1,5,2,4,4,4,84.409,108.271,179.844,8,1,6,,,6,,,,6,,,9,,,,,42.388793945312,-71.422500610352,-1,
R_cGBYDZ3Zp9Bn73D,Default Response Set,Anonymous,,,166.137.14.61,0,2014-05-31 07:45:17,2014-05-31 07:45:44,0,0,food stamps,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_3wIuQcXWfv8j8lT,Default Response Set,Anonymous,,,69.244.95.69,0,2014-06-01 04:40:25,2014-06-01 04:40:45,0,0,food stamps,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_2gYGqkGF1kH5LE1,Default Response Set,Anonymous,,,72.227.126.143,0,2014-06-01 12:34:01,2014-06-01 12:34:24,0,0,food stamps,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_9TDZ7puXGE72ZZr,Default Response Set,Anonymous,,,128.103.220.122,0,2014-06-08 18:08:04,2014-06-08 18:10:54,1,0,food stamps,1,1,1,1,,4,2,5,4,1,5,48.008,76.23,77.366,6,3,2,,,5,,,5,,1,32,8,9,9,8,,42.380004882812,-71.13289642334,-1,
R_3yoxysLC6s1LUEd,Default Response Set,Anonymous,,,70.192.21.101,0,2014-06-02 08:06:24,2014-06-02 08:06:47,0,0,food stamps,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_bkg48leD30BXA3P,Default Response Set,Anonymous,,,67.134.204.4,0,2014-06-03 06:00:14,2014-06-03 06:02:50,0,1,tax breaks,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_3C8UzUq7jcMRVKl,Default Response Set,Anonymous,,,67.134.207.239,0,2014-06-05 05:59:45,2014-06-05 05:59:54,0,0,food stamps,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_0SQnmiheBhyFNPv,Default Response Set,Anonymous,,,206.212.186.100,0,2014-06-05 15:56:35,2014-06-05 16:03:34,0,1,tax breaks,1,1,1,,1,4,5,2,5,5,5,2.387,295.21500000000003,300.269,8,1,6,,,4,,,,2,1,54,9,9,8,9,,,,-1,
R_896q7LYhtjAxYUt,Default Response Set,Anonymous,,,67.134.207.233,0,2014-06-06 05:16:40,2014-06-06 05:16:49,0,0,food stamps,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_cC0In5XpeEHYJE1,Default Response Set,Anonymous,,,70.192.13.192,0,2014-06-06 09:12:33,2014-06-06 09:13:15,0,0,food stamps,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_1NU53s55B9FzrrD,Default Response Set,Anonymous,,,128.103.222.204,0,2014-06-09 20:51:08,2014-06-09 20:51:22,0,0,food stamps,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
